Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count
2021,4367179,Josiah Norwood,WR,UCLA,Pac-12,0.024,1.676,1.4%,14,0,0,31.3%,58.2%,3.00
2021,4367180,Kazmeir Allen,WR,UCLA,Pac-12,0.047,1.676,2.8%,9,0,0,31.3%,58.2%,2.00
2021,4367182,Michael Ezeike,TE,UCLA,Pac-12,0.014,1.676,0.8%,16,0,0,31.3%,58.2%,2.00
2021,4367186,Chase Cota,WR,UCLA,Pac-12,0.038,1.676,2.3%,12,0,0,31.3%,58.2%,2.00
2021,4367207,Matt Alaimo,TE,Rutgers,Big Ten,0.020,1.746,1.1%,18,0,0,25.7%,45.4%,2.00
2021,4367209,Greg Dulcich,TE,UCLA,Pac-12,0.064,1.676,3.8%,7,0,0,31.3%,58.2%,1.00
2021,4367449,Brandon Sanders,WR,Rutgers,Big Ten,0.042,1.746,2.4%,13,0,0,25.7%,45.4%,1.00
2021,4368087,Henry Teeter,TE,Texas Tech,Big 12,0.016,2.395,0.7%,21,0,0,18.6%,48.7%,2.00
2021,4368138,Chris Childers,RB,Indiana,Big Ten,0.066,2.542,2.6%,12,0,0,19.4%,44.3%,1.00
2021,4369468,Nate Kyei-Donkor,RB,Duke,ACC,0.038,1.765,2.2%,10,0,0,26.6%,57.6%,1.00
2021,4369863,Cedric Tillman,WR,Tennessee,SEC,0.097,2.079,4.7%,7,0,0,23.7%,41.4%,2.00
2021,4369864,Jacob Warren,TE,Tennessee,SEC,0.040,2.079,1.9%,16,0,0,23.7%,41.4%,3.00
2021,4370775,Brennan Armstrong,QB,Virginia,ACC,0.716,1.760,40.7%,1,1,1,40.7%,60.5%,3.00
2021,4370781,Josh Clifford,WR,Virginia,ACC,0.012,1.760,0.7%,15,0,0,40.7%,60.5%,1.00
2021,4370797,Billy Kemp,WR,Virginia,ACC,0.106,1.760,6.0%,5,0,0,40.7%,60.5%,3.00
2021,4370803,Grant Misch,TE,Virginia,ACC,0.018,1.760,1.0%,14,0,0,40.7%,60.5%,3.00
2021,4370813,Wayne Taulapapa,RB,Virginia,ACC,0.097,1.760,5.5%,7,0,0,40.7%,60.5%,2.00
2021,4371177,Gunnar Henderson,WR,TCU,Big 12,0.015,2.366,0.6%,21,0,0,22.1%,50.9%,2.00
2021,4371968,Miles Marshall,WR,Indiana,Big Ten,0.053,2.542,2.1%,14,0,0,19.4%,44.3%,1.00
2021,4371970,Matt Bjorson,TE,Indiana,Big Ten,0.024,2.542,0.9%,21,0,0,19.4%,44.3%,1.00
2021,4371977,Shaun Shivers,RB,Auburn,SEC,0.068,1.982,3.4%,10,0,0,27.3%,53.6%,2.00
2021,4372000,John Stephen Jones,QB,Arkansas,SEC,0.014,1.578,0.9%,20,0,0,30.9%,48.0%,1.00
2021,4372013,Braxton Barker,QB,Alabama,SEC,0.013,2.023,0.6%,21,0,0,27.6%,49.8%,1.00
2021,4372026,Cameron Latu,TE,Alabama,SEC,0.036,2.023,1.8%,16,0,0,27.6%,49.8%,2.00
2021,4372039,Dontay Demus,WR,Maryland,Big Ten,0.085,1.831,4.6%,7,0,0,31.8%,47.1%,2.00
2021,4372041,Brian Cobbs,WR,Maryland,Big Ten,0.038,1.831,2.1%,16,0,0,31.8%,47.1%,1.00
2021,4372045,Darryl Jones,WR,Maryland,Big Ten,0.049,1.831,2.7%,14,0,0,31.8%,47.1%,2.00
2021,4372063,Ronnie Bell,WR,Michigan,Big Ten,0.017,1.737,1.0%,20,0,0,21.6%,51.1%,2.00
2021,4372071,Hassan Haskins,RB,Michigan,Big Ten,0.299,1.737,17.2%,2,0,1,21.6%,51.1%,1.00
2021,4372073,Christian Turner,RB,Wake Forest,ACC,0.122,1.730,7.1%,4,0,0,33.4%,49.7%,3.00
2021,4372096,Luke Schoonmaker,TE,Michigan,Big Ten,0.034,1.737,2.0%,16,0,0,21.6%,51.1%,2.00
2021,4372505,Payne Durham,TE,Purdue,Big Ten,0.077,2.176,3.5%,8,0,0,23.7%,46.8%,2.00
2021,4372519,Jashaun Corbin,RB,Florida State,ACC,0.207,1.869,11.1%,3,0,1,26.9%,59.3%,1.00
2021,4372522,Jalen Preston,WR,Texas A&M,SEC,0.051,1.989,2.6%,11,0,0,23.0%,50.5%,2.00
2021,4372541,Caleb Chapman,WR,Texas A&M,SEC,0.041,1.989,2.1%,14,0,0,23.0%,50.5%,2.00
2021,4372545,Max Wright,TE,Texas A&M,SEC,0.015,1.989,0.8%,19,0,0,23.0%,50.5%,3.00
2021,4372559,Chase Wolf,QB,Wisconsin,Big Ten,0.075,1.651,4.5%,6,0,0,21.7%,54.0%,2.00
