Season,Id,Name,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns
2021,4040779,John Mitchell,WR,Florida Atlantic,CUSA,0.046,0.081,0,0.017,0.053,0.103,0.037,0.067
2021,4040824,Dominic Johnson,WR,Buffalo,MAC,0.063,0.146,0,0.052,0.059,0.079,0.05,0.094
2021,4040835,Jake Molinich,TE,Buffalo,MAC,0.018,0.033,0.008,0.015,0.014,0.022,0.016,0.025
2021,4040874,Johnny Huntley III,TE,Liberty,Ind,0.038,0.08,0,0.027,0.05,0.051,0.033,0.049
2021,4040880,Sam Noyer,QB,Oregon State,PAC,0.201,0.379,0.03,0.158,0.159,0.379,0.132,0.349
2021,4040935,Adam Cofield,RB,Western Kentucky,CUSA,0.105,0.034,0.269,0.095,0.109,0.135,0.109,0.096
2021,4042110,Jawon Hamilton,RB,Eastern Michigan,MAC,0.132,0.008,0.28,0.176,0.134,0.044,0.156,0.076
2021,4042113,McKenzie Milton,QB,Florida State,ACC,0.4,0.679,0.096,0.361,0.366,0.513,0.363,0.474
2021,4042807,Trevon Bradford,WR,Oregon State,PAC,0.078,0.16,0.017,0.067,0.061,0.129,0.062,0.117
2021,4043043,Brett Borske,TE,Western Michigan,MAC,0.022,0.063,0,0.022,0.011,0.049,0.024,0.017
2021,4043136,Jett Duffey,QB,Hampton,,0.429,1,0.135,0.381,0.474,0.5,0.4,0.476
2021,4043606,Willie Johnson,WR,Marshall,CUSA,0.059,0.109,0.007,0.043,0.067,0.092,0.043,0.102
2021,4043607,Xavier Gaines,TE,Marshall,CUSA,0.068,0.132,0.004,0.075,0.075,0.037,0.058,0.092
2021,4043996,Chase Cokley,WR,Ohio,MAC,0.04,0.083,0,0.032,0.045,0.055,0.04,0.038
2021,4044095,Quayvon Skanes,WR,Gardner-Webb,,0.046,0.063,0,0.036,0.045,0.071,0.048,0.043
2021,4044111,Chris Oladokun,QB,South Dakota State,,0.492,1,0.031,0.467,0.4,0.8,0.447,0.565
2021,4044122,Anthony Russo,QB,Michigan State,B1G,0.098,0.136,0.053,0.111,0.048,0.12,0.107,0.077
2021,4044143,Randle Jones,WR,Temple,AAC,0.108,0.192,0.018,0.114,0.119,0.086,0.102,0.117
2021,4044454,Donald Stewart,WR,Wake Forest,ACC,0.049,0.098,0,0.061,0.038,0.043,0.05,0.048
2021,4044521,Taylor Edwards,TE,Massachusetts,Ind,0.036,0.073,0,0.02,0.054,0.053,0.052,0
2021,4044536,Peytton Pickett,RB,Jackson State,,0.155,0.093,0.357,0.111,0.059,0.333,0.143,0.174
2021,4045291,Taysir Mack,WR,Pittsburgh,ACC,0.053,0.093,0.007,0.049,0.055,0.037,0.043,0.075
2021,4045293,Jonah Morris,WR,Northern Colorado,,0.018,0.024,0,0,0.056,0,0,0.042
2021,4045696,Ryan Carriere,TE,Charlotte,CUSA,0.02,0.031,0.008,0.014,0.019,0.019,0.018,0.024
2021,4045696,Ryan Carriere,TE,Charlotte,,0.02,0.031,0.008,0.014,0.019,0.019,0.018,0.024
2021,4046519,Kekoa Crawford,WR,California,PAC,0.078,0.148,0,0.07,0.083,0.063,0.068,0.097
2021,4046540,Tru Wilson,RB,Northern Colorado,,0.232,0.167,0.429,0.304,0.111,0.308,0.281,0.167
2021,4046564,Wykeen Akie Gill,WR,Duquesne,,0.075,0.104,0.058,0.085,0.093,0,0.085,0.053
2021,4046586,Nick Lenners,TE,Kansas State,B12,0.022,0.049,0,0.026,0.017,0.026,0.026,0.016
2021,4046677,Deon McIntosh,RB,Washington State,PAC,0.164,0.013,0.345,0.184,0.144,0.148,0.181,0.126
2021,4046713,Noah Davis,TE,Cincinnati,AAC,0.017,0.036,0,0,0,0,0.023,0
2021,4046826,Darien Rencher,RB,Clemson,ACC,0.085,0.018,0.146,0.118,0.077,0.043,0.096,0.059
2021,4046981,Martell Pettaway,RB,Middle Tennessee,CUSA,0.114,0.023,0.227,0.138,0.135,0.037,0.137,0.068
2021,4047369,Dennis Merritt,RB,Eastern Washington,,0.282,0.077,0.528,0.333,0.241,0.25,0.327,0.174
2021,4047385,Garris Schwarting,WR,Charleston Southern,,0.133,0.198,0.017,0.155,0.075,0.179,0.117,0.159
2021,4047422,Tanner Conner,WR,Idaho State,,0.125,0.231,0.036,0.2,0.105,0,0.154,0.059
2021,4047555,Jalen Williams,WR,Louisiana,SBC,0.038,0.084,0,0.032,0.053,0.025,0.036,0.045
2021,4047615,Travis O'Connor,WR,Southern,,0.02,0.05,0,0.045,0,0,0.032,0
2021,4047738,Cody Rudy,FB,Ball State,MAC,0.046,0.087,0,0.034,0.062,0.047,0.034,0.07
2021,4048099,Samson Nacua,WR,BYU,Ind,0.048,0.082,0.021,0.065,0.037,0.033,0.054,0.034
2021,4048232,Jake Constantine,QB,Rice,CUSA,0.386,0.809,0.059,0.333,0.359,0.52,0.334,0.493
2021,4048241,Camron Humphrey,QB,Montana,,0.018,0.043,0,0,0,0.077,0,0.053
2021,4048695,Jordan Nathan,WR,Utah State,MWC,0.018,0.029,0.007,0.024,0.022,0,0.016,0.022
2021,4048721,Dontae Crow,WR,Campbell,,0.113,0.226,0,0.172,0.1,0,0.128,0.087
2021,4048725,Ayden Eberhardt,WR,Wyoming,MWC,0.054,0.113,0.01,0.026,0.053,0.109,0.028,0.113
2021,4048768,Walter Dawn Jr.,WR,UTEP,CUSA,0.031,0.089,0,0.016,0.053,0,0.031,0.029
2021,4050370,Keon Howard,QB,UT Martin,,0.714,1,0.333,0.645,0.654,0.947,0.627,0.885
2021,4050499,Joshua Lanier,WR,Jackson State,,0.121,0.163,0,0.185,0.059,0.083,0.143,0.087
2021,4050937,Levi Falck,WR,Nebraska,B1G,0.039,0.083,0.003,0.036,0.052,0.031,0.038,0.042
2021,4050942,Caleb Vander Esch,WR,South Dakota,,0.032,0.091,0,0.04,0.048,0,0.024,0.05
2021,4050954,Isaac Smith,WR,Missouri State,,0.012,0.02,0,0,0.037,0,0,0.036
2021,4051021,Daniel Smith,QB,Villanova,,0.7,1,0.217,0.615,0.579,1,0.636,0.778
2021,4051409,Azende Rey,RB,Georgia Tech,ACC,0.014,0.034,0,0,0.023,0.034,0.019,0
2021,4051442,Felix Harper,QB,Alcorn State,,0.625,0.973,0.148,0.423,0.762,0.733,0.525,0.792
2021,4051451,Cody Orgeron,QB,McNeese,,0.557,1,0.182,0.333,0.524,0.938,0.353,0.815
2021,4051468,Trevor Begue,WR,Incarnate Word,,0.074,0.111,0,0.147,0,0,0.106,0
