Season,Team,Conference,Points_for,Points_against
2021,Fresno State,Mountain West,38,30
2021,Shepherd,Pennsylvania State Athletic,29,37
2021,Glenville State,Mountain East,10,27
2021,Notre Dame College,Mountain East,38,14
2021,UVA Wise,South Atlantic,33,7
2021,American International,Northeast 10,27,35
2021,Kentucky Wesleyan,Great Midwest Athletic,41,21
2021,Robert Morris,Big South,22,16
2021,Yale,Ivy,23,17
2021,St. Francis (PA),NEC,16,28
2021,Incarnate Word,Southland,31,0
2021,Davidson,Pioneer,28,16
2021,Vanderbilt,SEC,0,62
2021,Edinboro University,Pennsylvania State Athletic,12,20
2021,Texas,Big 12,70,35
2021,Findlay,Great Midwest Athletic,16,28
2021,Penn State,Big Ten,38,17
2021,Boston College,ACC,41,34
2021,Virginia Tech,ACC,21,10
2021,Pittsburgh,ACC,77,7
2021,Temple,American Athletic,41,7
2021,TCU,Big 12,34,42
2021,Northwestern,Big Ten,35,6
2021,Minnesota,Big Ten,10,14
2021,Wisconsin,Big Ten,13,41
2021,Mississippi State,SEC,25,28
2021,Utah State,Mountain West,3,27
2021,Central Michigan,Mid-American,31,27
2021,Army,FBS Independents,23,10
2021,Miami,ACC,69,0
2021,Michigan Tech,GLIAC,21,44
2021,West Virginia Wesleyan,Mountain East,0,31
2021,UNC Pembroke,Mountain East,27,30
2021,Concord University,Mountain East,23,42
2021,Alderson-Broaddus,Mountain East,7,69
2021,St. Anselm,Northeast 10,42,7
2021,Indianapolis,Great Lakes,16,19
2021,Mercyhurst,Pennsylvania State Athletic,13,48
2021,Gannon,Pennsylvania State Athletic,56,21
2021,Shippensburg,Pennsylvania State Athletic,51,7
2021,Concordia University St Paul,Northern Sun,24,34
2021,Minnesota State Moorhead,Northern Sun,33,28
2021,ERSKINE,Independent DII,7,38
2021,Shorter,Gulf South,0,56
2021,Northwood (MI),GLIAC,37,20
2021,New Haven,Northeast 10,38,9
2021,Ashland,Great Midwest Athletic,63,23
2021,Coastal Carolina,Sun Belt,53,3
2021,Dayton,Pioneer,63,43
2021,Princeton,Ivy,63,0
2021,Duquesne,NEC,56,7
2021,Drake,Pioneer,21,24
2021,St. Thomas (MN),Pioneer,36,0
2021,Monmouth,Big South,15,45
2021,Colgate,Patriot,30,3
2021,Indiana State,MVFC,0,44
2021,Columbia,Ivy,35,24
2021,St. Augustine's,CIAA,12,59
2021,Johnson C Smith,CIAA,7,43
2021,Lincoln (PA),CIAA,6,41
2021,VMI,Southern,31,23
2021,Dartmouth,Ivy,41,3
