Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count,Usage_Bin
2021,4242490,Braxton Burmeister,QB,Virginia Tech,ACC,0.478,1.922,0.248699272,1,1,1,0.248699272,0.463059313,1,40–50%
2021,4242492,CJ Verdell,RB,Oregon,Pac-12,0.249,1.862,0.133727175,3,0,1,0.307196563,0.591299678,1,20–25%
2021,4242504,Johnny Johnson III,WR,Oregon,Pac-12,0.044,1.862,0.023630505,11,0,0,0.307196563,0.591299678,1,0–5%
2021,4242506,Jaylon Redd,WR,Oregon,Pac-12,0.042,1.862,0.022556391,14,0,0,0.307196563,0.591299678,1,0–5%
2021,4242526,John Samuel Shenker,TE,Auburn,SEC,0.051,1.982,0.025731584,12,0,0,0.272956609,0.535822402,2,5–10%
2021,4242661,Chris Pierce,WR,Vanderbilt,SEC,0.103,2.047,0.050317538,7,0,0,0.216414265,0.52271617,1,10–15%
2021,4242881,Trelon Smith,RB,Arkansas,SEC,0.126,1.578,0.079847909,3,0,1,0.309252218,0.48035488,1,10–15%
2021,4242896,Curtis Hodges,TE,Arizona State,Pac-12,0.05,1.654,0.030229746,9,0,0,0.316807739,0.591898428,1,5–10%
2021,4242974,Austin Burton,QB,Purdue,Big Ten,0.039,2.176,0.017922794,15,0,0,0.236672794,0.467830882,2,0–5%
2021,4243163,Alex Fontenot,RB,Colorado,Pac-12,0.157,1.652,0.09503632,3,0,1,0.302663438,0.544188862,2,15–20%
2021,4243168,K.D. Nixon,WR,USC,Pac-12,0.014,2.071,0.006760019,19,0,0,0.228392081,0.560598745,1,0–5%
2021,4243176,Brady Russell,TE,Colorado,Pac-12,0.05,1.652,0.030266344,9,0,0,0.302663438,0.544188862,2,5–10%
2021,4243247,Jaylen Dixon,WR,Utah,Pac-12,0.018,1.764,0.010204082,16,0,0,0.253968254,0.640022676,2,0–5%
2021,4243261,Bryan Thompson,WR,Arizona State,Pac-12,0.045,1.654,0.027206771,11,0,0,0.316807739,0.591898428,2,0–5%
2021,4243319,Terrell Bynum,WR,Washington,Pac-12,0.075,2.016,0.037202381,9,0,0,0.267361111,0.461309524,2,5–10%
2021,4243331,Cade Otton,TE,Washington,Pac-12,0.067,2.016,0.033234127,10,0,0,0.267361111,0.461309524,1,5–10%
2021,4243539,Noah Vedral,QB,Rutgers,Big Ten,0.449,1.746,0.257159221,1,1,1,0.257159221,0.453608247,2,40–50%
2021,4244029,Jarret Doege,QB,West Virginia,Big 12,0.529,1.494,0.354082999,1,1,1,0.354082999,0.634538153,1,50%+
2021,4244038,Andrew Clair,RB,Northwestern,Big Ten,0.096,2.254,0.042590949,6,0,0,0.187666371,0.501774623,2,5–10%
2021,4245144,Davontavean Martin,WR,Oklahoma State,Big 12,0.076,2.221,0.03421882,10,0,0,0.243583971,0.538496173,1,5–10%
2021,4245146,Travell Harris,WR,Washington State,Pac-12,0.061,1.942,0.031410917,8,0,0,0.268280124,0.614315139,1,5–10%
2021,4245147,Jamire Calvin,WR,Mississippi State,SEC,0.041,1.925,0.021298701,13,0,0,0.386493506,0.566753247,2,0–5%
2021,4245161,Clay Markoff,RB,Arizona,Pac-12,0.013,2.116,0.006143667,18,0,0,0.211720227,0.573251418,1,0–5%
2021,4245639,Stanley Berryhill III,WR,Arizona,Pac-12,0.128,2.116,0.060491493,5,0,0,0.211720227,0.573251418,1,10–15%
2021,4245703,Bryce Wolma,TE,Arizona,Pac-12,0.019,2.116,0.008979206,16,0,0,0.211720227,0.573251418,1,0–5%
2021,4247724,Caylin Newton,WR,Auburn,SEC,0.014,1.982,0.007063572,20,0,0,0.272956609,0.535822402,1,0–5%
2021,4248071,Devin Darrington,RB,Virginia,ACC,0.041,1.76,0.023295455,10,0,0,0.406818182,0.604545455,1,0–5%
2021,4248250,Ryan Glover,QB,California,Pac-12,0.68,2.197,0.309512972,1,1,1,0.309512972,0.660901229,1,50%+
2021,4248558,Jason Brown,QB,South Carolina,SEC,0.308,2.054,0.149951315,2,0,1,0.26436222,0.537974684,2,30–40%
2021,4249295,Reece Udinski,QB,Maryland,Big Ten,0.052,1.831,0.028399782,12,0,0,0.318405243,0.471327144,1,5–10%
2021,4249535,Donny Navarro,WR,Illinois,Big Ten,0.046,2.154,0.021355617,12,0,0,0.214948932,0.525998143,2,0–5%
2021,4249624,Nick Muse,TE,South Carolina,SEC,0.049,2.054,0.023855891,11,0,0,0.26436222,0.537974684,1,0–5%
2021,4249633,Trae Barry,TE,Boston College,ACC,0.051,2.001,0.025487256,8,0,0,0.212893553,0.536231884,1,5–10%
2021,4249828,Ethan Bullock,QB,Oklahoma State,Big 12,0.035,2.221,0.015758667,15,0,0,0.243583971,0.538496173,1,0–5%
2021,4251136,Spencer Curtis,WR,Oregon,Pac-12,0.017,1.862,0.009129968,18,0,0,0.307196563,0.591299678,1,0–5%
2021,4255986,Champ Flemings,WR,Oregon State,Pac-12,0.042,1.676,0.025059666,12,0,0,0.259546539,0.534009547,1,0–5%
2021,4255988,B.J. Baylor,RB,Oregon State,Pac-12,0.259,1.676,0.154534606,2,0,1,0.259546539,0.534009547,1,25–30%
2021,4257188,Charlie Jones,WR,Iowa,Big Ten,0.044,1.734,0.025374856,11,0,0,0.245098039,0.587658593,2,0–5%
2021,4257374,Mitch Rossi,TE,Ohio State,Big Ten,0.013,2.154,0.006035283,23,0,0,0.256731662,0.429433612,2,0–5%
2021,4258180,Joel Honigford,TE,Michigan,Big Ten,0.012,1.737,0.006908463,22,0,0,0.21646517,0.510650547,1,0–5%
2021,4258189,Oliver Martin,WR,Nebraska,Big Ten,0.052,1.983,0.026222895,13,0,0,0.278870398,0.455874937,2,5–10%
2021,4258201,Carter Selzer,TE,Michigan,Big Ten,0.041,1.737,0.023603915,13,0,0,0.21646517,0.510650547,1,0–5%
2021,4258238,Ty Fryfogle,WR,Indiana,Big Ten,0.117,2.542,0.046026751,6,0,0,0.194335169,0.44256491,1,10–15%
2021,4258248,Peyton Hendershot,TE,Indiana,Big Ten,0.089,2.542,0.035011802,8,0,0,0.194335169,0.44256491,1,5–10%
2021,4259147,Jake Tonges,TE,California,Pac-12,0.05,2.197,0.022758307,10,0,0,0.309512972,0.660901229,1,5–10%
2021,4259169,Trestan Ebner,RB,Baylor,Big 12,0.191,1.715,0.111370262,4,0,0,0.254810496,0.601166181,1,15–20%
2021,4259180,John Lovett,RB,Penn State,Big Ten,0.137,1.937,0.07072793,7,0,0,0.292720702,0.518843573,1,10–15%
2021,4259197,Tarique Milton,WR,Iowa State,Big 12,0.036,1.777,0.020258863,12,0,0,0.31851435,0.610016882,2,0–5%
2021,4259219,Henry Colombi,QB,Texas Tech,Big 12,0.385,2.395,0.160751566,2,0,1,0.186221294,0.487265136,1,30–40%
2021,4259304,Shameen Jones,WR,Rutgers,Big Ten,0.063,1.746,0.036082474,11,0,0,0.257159221,0.453608247,2,5–10%
2021,4259305,Bo Melton,WR,Rutgers,Big Ten,0.119,1.746,0.068155785,3,0,1,0.257159221,0.453608247,1,10–15%
2021,4259308,Raheem Blackshear,RB,Virginia Tech,ACC,0.194,1.922,0.100936524,3,0,1,0.248699272,0.463059313,1,15–20%
2021,4259314,Parker Day,RB,Rutgers,Big Ten,0.029,1.746,0.016609393,15,0,0,0.257159221,0.453608247,2,0–5%
